generation,best_penalty,current_best_penalty,average_penalty,best_fitness
0,18700,18700,97260.33333333333,5.347307630607989e-05
1,17600,17600,87550.33333333333,5.681495369581274e-05
2,16600,16600,78321.66666666667,6.023733510029516e-05
3,12400,12400,74717.66666666667,8.063865817272801e-05
4,8900,8900,71106.0,0.00011234692731153803
5,8900,8900,68744.33333333333,0.00011234692731153803
6,8100,8100,67883.33333333333,0.00012344155042587335
7,8100,8100,65068.666666666664,0.00012344155042587335
8,7100,7100,65083.0,0.0001408252358822701
9,7100,7100,63826.666666666664,0.0001408252358822701
10,7100,7100,59927.0,0.0001408252358822701
11,7100,7100,59041.333333333336,0.0001408252358822701
12,7100,7100,55061.333333333336,0.0001408252358822701
13,7100,7100,51968.666666666664,0.0001408252358822701
14,7100,7100,51539.333333333336,0.0001408252358822701
15,7100,7100,54667.666666666664,0.0001408252358822701
16,7100,7100,56724.0,0.0001408252358822701
17,7100,7100,53378.0,0.0001408252358822701
18,7100,7100,51942.666666666664,0.0001408252358822701
19,7100,7100,52536.0,0.0001408252358822701
20,6600,6600,51291.666666666664,0.0001514921981517952
21,5600,5600,48111.333333333336,0.00017853954650955185
22,5600,5600,46727.333333333336,0.00017853954650955185
23,5600,5600,43981.666666666664,0.00017853954650955185
24,5600,5600,43647.666666666664,0.00017853954650955185
25,5200,5200,41429.333333333336,0.00019227071716977504
26,5200,5200,40136.333333333336,0.00019227071716977504
27,5200,5200,39279.666666666664,0.00019227071716977504
28,5200,5200,42222.666666666664,0.00019227071716977504
29,4500,4500,43586.333333333336,0.00022217285047767163
30,4500,4500,43750.666666666664,0.00022217285047767163
31,4500,4500,43343.0,0.00022217285047767163
32,3500,3500,42012.666666666664,0.00028563267637817766
33,3500,3500,43146.666666666664,0.00028563267637817766
34,3500,3500,40369.0,0.00028563267637817766
35,3500,3500,40882.333333333336,0.00028563267637817766
36,3500,3500,42450.333333333336,0.00028563267637817766
37,3500,3500,40715.0,0.00028563267637817766
38,3500,3500,38561.333333333336,0.00028563267637817766
39,3000,3000,34704.0,0.0003332222592469177
40,3000,3000,38290.0,0.0003332222592469177
41,2900,2900,34941.333333333336,0.0003447087211306446
42,2700,2700,35522.666666666664,0.00037023324694557573
43,2700,2700,33655.333333333336,0.00037023324694557573
44,2700,2700,36649.0,0.00037023324694557573
45,2600,2600,33361.333333333336,0.00038446751249519417
46,2600,2600,32923.333333333336,0.00038446751249519417
47,2600,2600,34122.333333333336,0.00038446751249519417
48,2600,2600,35671.333333333336,0.00038446751249519417
49,2500,2500,33863.333333333336,0.00039984006397441024
50,2500,2500,35161.333333333336,0.00039984006397441024
51,2300,2300,32506.0,0.000434593654932638
52,2300,2300,31626.666666666668,0.000434593654932638
